emoji_id,emoji_name,asset_path,animation_path,has_static_asset,has_animation_asset,category
🐸,青蛙,assets/qq_emoji/🐸/png/🐸.png,,Yes,No,qqnt
👀,眼睛,assets/qq_emoji/👀/png/👀.png,,Yes,No,qqnt
👂,耳朵,,,No,No,qqnt
👃,鼻子,,,No,No,qqnt
👄,嘴唇,,,No,No,qqnt
👆,向上,assets/qq_emoji/👆/png/👆.png,,Yes,No,qqnt
👇,向下,,,No,No,qqnt
👈,向左,,,No,No,qqnt
👉,向右,,,No,No,qqnt
👊,拳头,assets/qq_emoji/👊/png/👊.png,,Yes,No,qqnt
👌,好的,assets/qq_emoji/👌/png/👌.png,,Yes,No,qqnt
👍,厉害,assets/qq_emoji/👍/png/👍.png,,Yes,No,qqnt
👎,鄙视,assets/qq_emoji/👎/png/👎.png,,Yes,No,qqnt
👏,鼓掌,assets/qq_emoji/👏/png/👏.png,,Yes,No,qqnt
👑,皇冠,,,No,No,qqnt
👒,帽子,,,No,No,qqnt
👕,衣服,,,No,No,qqnt
👗,连衣裙,,,No,No,qqnt
👙,内衣,,,No,No,qqnt
👜,包,,,No,No,qqnt
👟,鞋子,,,No,No,qqnt
👠,高跟鞋,,,No,No,qqnt
👢,靴子,assets/qq_emoji/👢/png/👢.png,,Yes,No,qqnt
👣,脚印,,,No,No,qqnt
👦,男孩,assets/qq_emoji/👦/png/👦.png,,Yes,No,qqnt
👧,女孩,assets/qq_emoji/👧/png/👧.png,,Yes,No,qqnt
👨,爸爸,,,No,No,qqnt
👩,妈妈,,,No,No,qqnt
👻,幽灵,assets/qq_emoji/👻/png/👻.png,,Yes,No,qqnt
👼,天使,,,No,No,qqnt
💀,骷髅,,,No,No,qqnt
💄,口红,,,No,No,qqnt
💈,理发厅,,,No,No,qqnt
💉,打针,assets/qq_emoji/💉/png/💉.png,,Yes,No,qqnt
💊,药丸,,,No,No,qqnt
💍,戒指,,,No,No,qqnt
💓,爱心,assets/qq_emoji/💓/png/💓.png,,Yes,No,qqnt
💝,礼物,assets/qq_emoji/💝/png/💝.png,,Yes,No,qqnt
💣,炸弹,assets/qq_emoji/💣/png/💣.png,,Yes,No,qqnt
💤,睡觉,assets/qq_emoji/💤/png/💤.png,,Yes,No,qqnt
💦,水,assets/qq_emoji/💦/png/💦.png,,Yes,No,qqnt
💨,吹气,assets/qq_emoji/💨/png/💨.png,,Yes,No,qqnt
💩,便便,assets/qq_emoji/💩/png/💩.png,,Yes,No,qqnt
💪,肌肉,assets/qq_emoji/💪/png/💪.png,,Yes,No,qqnt
💰,钱,,,No,No,qqnt
💻,电脑,,,No,No,qqnt
💿,光碟,,,No,No,qqnt
📠,传真,,,No,No,qqnt
📫,邮箱,assets/qq_emoji/📫/png/📫.png,,Yes,No,qqnt
📱,手机,,,No,No,qqnt
📷,相机,,,No,No,qqnt
🔑,钥匙,,,No,No,qqnt
🔒,锁,,,No,No,qqnt
🔔,铃铛,,,No,No,qqnt
